text,class
The general purpose of the steam boiler system is to ensure each safe operation of the steam boiler.,3
"The steam boiler operates safely if the contained amount of water never exceeds each certain tolerance, thus avoiding damage to the steam boiler and the turbine driven only by  the produced steam.",3
"Basically, the steam boiler system consists of the steam boiler itself, each measuring device for the water level, each pump to provide the steam boiler with water, each measuring device for the pump status, each measuring device for the amount of steam produced only by  the steam boiler, each operator desk, and each message transmission system for the signals produced.",2
"During operation, the water level is kept within the tolerance level as long as possible, using the measuring devices and the pump and producing status information for the operator desk.",1
"But even with each devices broken, the system can still successfully monitor the steam boiler. If no safe operation is possible each longer, control is handed over to the operator desk.",2
"Additionally, the operator can stop the system only at  each time via the operator desk.",3
"The software to be designed is each program each of which  can be used to maintain each address book. each address book holds each collection of entries, each recording each person's first and last names, address, city, state, zip, and phone number.",5
"It must be possible to add each new person to each address book, to edit existing information about each person (except the person's name), and to delete each person. It must be possible to sort the entries in the address book alphabetically only by  last name (with ties broken only by  first name if necessary), or only by  ZIP code (with ties broken only by  name if necessary). It must be possible to print out each the entries in the address book in ""mailing label"" format.",4
"It must be possible to create each new address book, to open each disk file containing each existing address book to close each address book, and to save each address book to each disk file, using standard New, Open, Close, Save and Save As ... File menu options. The program's File menu shall also have each Quit option to allow closing each open address books and terminating the program.",4
"The initial requirements call for the program to only be able to work with each single address book only at  each time; therefore, if the user chooses the New or Open menu option, each current address book shall be closed before creating/opening each new one. each later extension shall allow for multiple address books to be open, each with its own window which can be closed separately, with closing the last open window resulting in terminating the program. In this case, New and Open shall result in creating each new window, without affecting the current window.",2
"The program shall keep track of whether each changes have been made to each address book since it was last saved, and shall offer the user the opportunity to save changes when each address book is closed either explicitly or as each result of choosing to create/open another or to quit the program.",4
"The program shall keep track of the file each of which  the current address book was read from or most recently saved to, shall display the file's name as the title of the main window, and shall use each of which  file when executing the Save option. When each New address book is initially created, its window shall be titled ""Untitled"", and each Save operation shall be converted to Save As ... - i.e. the user shall be required to specify each file.",4
"Stakeholder 1: LAS Incident Room Controller
 each medical emergency is either the result of each illness or accident.",2
"Stakeholder 1: LAS Incident Room Controller
 On receipt of each phone call reporting each medical emergency, the nearest available ambulance shall be despatched to the scene.",4
"Stakeholder 1: LAS Incident Room Controller
 On receipt of each phone call, if the incident is judged not to be each medical emergency, then the call shall be transferred to another emergency service (e.g., police or fire brigade).",4
"Stakeholder 2: Operations Manager
 On receipt of each phone call reporting each incident, the nearest available ambulance shall be despatched to the scene.",1
"Stakeholder 2: Operations Manager
 On receipt of each phone call reporting each incident, if each ambulance is not the nearest available, then it shall not be despatched to the scene.",1
"Stakeholder 3: Logistics Manager
 If no ambulance operators (drivers/medics) are available for each ambulance, then the ambulance is not the nearest available ambulance.",6
"Stakeholder 3: Logistics Manager
 If each ambulance is not the nearest available ambulance, then do not initiate each call for each of which  ambulance.",5
"Stakeholder 3: Logistics Manager
 If one year has passed since the maintenance work was last done on each ambulance, then perform each safety check on each of which  ambulance.",6
A library issues loan items to customers. The library is made up of each number of subject sections.,1
"Each customer is known as each member and is issued each membership card each of which  shows each unique member number. Along with the membership number, other details on each customer must be kept such as each name, address, and date of birth.",5
Each section is denoted only by  each classification mark.,3
A loan item is uniquely identified only by  each bar code.,3
"There are two types of loan items, language tapes, and books. each language tape has each title language (e.g. French), and level (e.g. beginner). each book has each title, and author(s). each customer shall borrow only up to  each maximum of 8 items. each item can be borrowed, reserved or renewed to extend each current loan.",2
"When each item is issued the customer's membership number is scanned via each bar code reader or entered manually. If the membership is still valid and the number of items on loan less than 8, the book bar code is read, either via the bar code reader or entered manually. If the item can be issued (e.g. not reserved) the item is stamped and then issued.",1
The library must support the facility for each item to be searched and for each daily update of records.,3
"The new system shall improve the reservation services in order to get each better level of integration, which shall improve the guest service.",1
"Guests can make each reservation only by  calling the hotels or the central office of the company, Sogno.",2
Guests are asked about the arrival-departure time and the type of room.,6
"They shall leave the name, the telephone number and the way of payment.",5
"If there isn't each vacant room in the hotel called only by  guests, the receptionist shall propose each room in another hotel of the chain.",3
"If they cancel the reservation, they lose the deposit.",5
The ATM shall service one customer only at  each time.,6
"A customer must be able to make each cash withdrawal from each suitable account linked to the card, in multiples of $20.00. Approval must be obtained from the bank before cash is dispensed.",6
